veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE
1,3,0.0,False,0,0,20.0,15.0,0,208.0,0,202.0,0.0,90.0,595.0,0,0,0,0,9669.0,595.0,0.0,202.0,313.0,8559.0,7.384,1.6008000000000002
2,12,0.0,False,0,0,66.0,28.0,0,256.0,0,510.0,0.0,360.0,1505.0,0,0,0,0,8074.0,1505.0,0.0,510.0,644.0,5415.0,24.895,4.0842
3,11,0.0,False,0,0,73.0,15.0,0,103.0,0,881.0,0.0,330.0,1432.0,0,0,0,0,7965.0,1432.0,0.0,881.0,448.0,5204.0,31.785,7.5402000000000005
4,11,0.0,False,0,0,208.0,15.0,0,135.0,0,1090.0,0.0,301.0,1408.0,0,0,0,0,7642.0,1408.0,0.0,1090.0,451.0,4693.0,26.696,4.3164
5,16,0.0,False,0,0,109.0,29.0,0,223.0,0,1188.0,0.0,480.0,1697.0,0,0,0,0,7073.0,1697.0,0.0,1188.0,732.0,3456.0,29.104,1.9377
6,3,0.0,False,0,0,37.0,27.0,0,123.0,0,184.0,0.0,90.0,281.0,0,0,0,0,10057.0,281.0,0.0,184.0,240.0,9352.0,3.523,2.3823
7,9,0.0,False,0,0,70.0,15.0,0,269.0,0,860.0,3600.0,270.0,1458.0,0,0,0,0,0.0,1458.0,3600.0,860.0,554.0,-6472.0,25.658,1.0008
8,5,0.0,False,0,0,168.0,15.0,0,60.0,0,519.0,3600.0,150.0,733.0,0,0,0,0,0.0,733.0,3600.0,519.0,225.0,-5077.0,18.61,7.420500000000001
9,10,0.0,False,0,0,74.0,15.0,0,209.0,0,994.0,0.0,300.0,889.0,0,0,0,0,8318.0,889.0,0.0,994.0,524.0,5911.0,18.977,3.1284
10,7,0.0,False,0,0,169.0,15.0,0,300.0,0,1093.0,3600.0,240.0,1204.0,0,0,0,0,0.0,1204.0,3600.0,1093.0,555.0,-6452.0,27.685,5.004
11,4,0.0,False,0,0,153.0,24.0,0,120.0,0,305.0,0.0,120.0,398.0,0,0,0,0,9679.0,398.0,0.0,305.0,264.0,8712.0,6.276,4.1652000000000005
12,14,0.0,False,0,0,173.0,21.0,0,237.0,0,1105.0,0.0,420.0,2264.0,0,0,0,0,6579.0,2264.0,0.0,1105.0,678.0,2532.0,47.715,2.8278000000000008
13,6,0.0,False,0,0,160.0,15.0,0,100.0,0,540.0,3600.0,180.0,1120.0,0,0,0,0,0.0,1120.0,3600.0,540.0,295.0,-5555.0,15.049,0.7116
14,2,0.0,False,0,0,169.0,15.0,0,40.0,0,483.0,0.0,60.0,284.0,0,0,0,0,9748.0,284.0,0.0,483.0,115.0,8866.0,2.85,2.1984000000000004
15,9,0.0,False,0,0,49.0,15.0,0,122.0,0,479.0,0.0,270.0,1094.0,0,0,0,0,8770.0,1094.0,0.0,479.0,407.0,6790.0,20.322,2.5907999999999998
16,13,0.0,False,0,0,63.0,15.0,0,280.0,0,1300.0,0.0,370.0,2143.0,0,0,0,0,6628.0,2143.0,0.0,1300.0,665.0,2520.0,45.244,1.5624
17,6,0.0,False,0,0,70.0,15.0,0,111.0,0,324.0,3600.0,180.0,779.0,0,0,0,0,0.0,779.0,3600.0,324.0,306.0,-5009.0,15.742,1.6416
18,3,0.0,False,0,0,108.0,15.0,0,294.0,0,512.0,3600.0,90.0,237.0,0,0,0,0,0.0,237.0,3600.0,512.0,399.0,-4748.0,14.635,6.404400000000001
19,3,0.0,False,0,0,81.0,15.0,0,101.0,0,206.0,0.0,90.0,339.0,0,0,0,0,0.0,339.0,0.0,206.0,206.0,-751.0,12.795,3.4248000000000003
20,3,0.0,False,0,0,95.0,15.0,0,108.0,0,120.0,0.0,64.0,585.0,0,0,0,0,9812.0,585.0,0.0,120.0,187.0,8920.0,12.716,5.8896
